County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference,longitude,latitude
Kings,749038,Store,JAC,LUNA PARK FOOD CORP,LUNA PARK FOOD CORP,1204,NEPTUNE AVE,,,BROOKLYN,NY,11224,0,-73.98035 40.57937,-73.98035,40.57937
Kings,749032,Store,JAC,LA MEXICANA HIDALGUENSE CORP,LA MEXICANA HIDALGUENSE,2835,ATLANTIC AVE,,,BROOKLYN,NY,11207,0,-73.88973 40.67678,-73.88973,40.67678
Bronx,749027,Store,JAC,MPQ BRONX COMMISSARY LLC,MPQ BRONX COMMISSARY,178,BRUCKNER BLVD,,,BRONX,NY,10454,0,-73.91415 40.80331,-73.91415,40.80331
Kings,748996,Store,JAC,ORGANIC FUSSION INC,ORGANIC FUSSION,146,COOPER STREET,,,BROOKLYN,NY,11207,0,-73.90739 40.68772,-73.90739,40.68772
Kings,748981,Store,JAC,PROMISE FOOD CORP THE,THE PROMISE FOOD,4201,FARRAGUT RD,,,BROOKLYN,NY,11203,0,-73.93703 40.63694,-73.93703,40.63694
Bronx,748978,Store,JAC,DONA MARY CORP,DONA MARY,550,E 187TH STREET,,,BRONX,NY,10458,0,-73.88899 40.85631,-73.88899,40.85631
Queens,748925,Store,JAC,FRUIT TEAM INC,FRUIT TEAM,25-05,STEINWAY STREET,,,ASTORIA,NY,11106,0,-73.91186 40.76775,-73.91186,40.76775
Bronx,748880,Store,A,DCON DISCOUNT INC,DCON DISCOUNT,4412,WHITE PLAINS ROAD,,,BRONX,NY,10470,8000,-73.85384 40.899,-73.85384,40.899
Bronx,748879,Store,A,BEST 99C DISCOUNT & HARDWHERE INC,BEST 99C DISCOUNT & HAR,695,E GUN HILL RD,,,BRONX,NY,10467,0,-73.86723 40.87761,-73.86723,40.87761
New York,748877,Store,A,XING YUN GROCERY INC,XING YUN GROCERY,48,ELDRIDGE STREET,,,NEW YORK,NY,10002,0,-73.99307 40.71599,-73.99307,40.71599
Bronx,748875,Store,A,EVERGREEN DISCOUNT INC,EVERGREEN DISCOUNT,230,EAST 170TH STREET,,,BRONX,NY,10456,0,-73.91252 40.83817,-73.91252,40.83817
New York,748855,Store,A,GORILLAS NYC LES LLC,GORILLAS - 4 LES,294,GRAND ST #296,,,NEW YORK,NY,10002,0,-73.99189 40.71756,-73.99189,40.71756
New York,748808,Store,A,HUDSON GROUP (HG) RETAIL LLC,HUDSON NEWS #217,1,PENN PLZ 32ND ST (LIRR LEVEL),,,NEW YORK,NY,10119,0,-73.99183 40.75063,-73.99183,40.75063
New York,748807,Store,A,HUDSON GROUP (HG) RETAIL LLC,HUDSON NEWS #216,1,PENN PLZ 32ND ST (LIRR LEVEL),,,NEW YORK,NY,10119,0,-73.99183 40.75063,-73.99183,40.75063
Kings,748783,Store,JAC,EL CONUCO CORP,EL CONUCO,718,KNICKERBOCKER AVE,,,BROOKLYN,NY,11221,0,-73.91017 40.69415,-73.91017,40.69415
Kings,748781,Store,JAC,INBOX CONVENIENT CORP,INBOX CONVENIENT,2727,CROSPEY AVE.,,,BROOKLYN,NY,11214,0,-73.98941 40.58786,-73.98941,40.58786
Kings,748779,Store,JAC,1170 FULTON ST CORP,1170 FULTON ST,1170,FULTON ST,,,BROOKLYN,NY,11216,0,-73.95419 40.68082,-73.95419,40.68082
Kings,748777,Store,JAC,400 ORGANIC AND NATURAL INC,400 ORGANIC AND NATURAL,113,SOUTH 6TH STREET,,,BROOKLYN,NY,11249,0,-73.96408 40.71056,-73.96408,40.71056
Queens,748774,Store,JAC,NANA PIES LLC,NANA PIES,47-09,30TH STREET,,,LONG ISLAND CITY,NY,11101,0,-73.93773 40.74291,-73.93773,40.74291
New York,748756,Store,JAC,PAULMIL CAFE INC,PAULMIL CAFE,21,E 1ST ST,,,NEW YORK,NY,10003,0,-73.99106 40.72438,-73.99106,40.72438
